case_id,week,weight,state,dma,nielsen,countyc,adi,metro,region,division,ownhome,marital,employ,hhcomp,adults,kids1217,kids611,kids06,parent,age,age2,educ2,educ,income,race,partyrot,party,ideorot,ideo,regvote,sex,ident,l1,c1,usborn,relig,religopen,denom,denomopen,born,jewid,secular,jdenom,year,demh1,demh2,date,sexorient_1,sexorient_2,sexorient_3,sexorient_4,sexorient_5,fipscode,cbsacode,cbsatitle,density,q1,q2,q3rot,q3,q4,q5,q6,q7,q8a,q8b,q8c,formsplit,q9,q10,q11,q12,q13,q14_1,q14_2,q14_3,q14_4,q14_5,q14_6,partyln,allcat,gender,racecat,agecat,gencat,educat,educat2,whteduc2,whtedgen,inccat,regcat,partycat,partylean,ideocat,reltrad,catholic
50000001,842,0.6373,NC,517,B,179, ,3,3,5,1,3,1,2,2, , , ,2,66, ,4,3,99,1,1,3,2,2,2,1,1,1, , ,15,, ,,2, , , ,18, , ,181016,1,0,0,0,0,37179,16740,"Charlotte-Concord-Gastonia, NC-SC",2,5,5,1,9,9,3,3,3,1,2,3,2,1,3,3,2,3,0,1,0,0,0,0,2,1,1,1,4,3,2,1,1,1,9,3,2,3,1,2,0
50000003,842,0.7161,NJ,501,A,31, ,3,1,2,1,3,1,4,2,0,0,2,1,37, ,6,4,12,1,2,3,1,3,1,1,1,1, , ,96,, ,, ,2, , ,18,1,1,181016,1,0,0,0,0,34031,35620,"New York-Newark-Jersey City, NY-NJ-PA",5,1,2,2,1, ,1,3,3,1,1,1,1,1,2,3,1,2,0,1,0,0,0,0,1,1,1,1,2,1,3,2,2,3,4,1,2,1,2,6,0
50000004,842,0.4734,MA,506,A,21, ,3,1,1,1,6,2,2,2, , , ,2,75, ,8,5,5,1,2,3,1,3,1,2,1,1, , ,90,, ,, ,2,2, ,18, , ,181016,1,0,0,0,0,25021,14460,"Boston-Cambridge-Newton, MA-NH",4,1,2,1,9,9,4,9,2,2,4,2,1,1,1,3,1,2,1,0,0,0,0,0,9,1,2,1,4,4,3,2,2,4,2,1,2,2,2,6,0
50000005,842,0.2771,OH,547,B,95, ,1,2,3,1,1,3,1,1, , , ,2,73, ,6,4,2,1,2,1,2,1,1,1,1,2, , ,15,, ,,1, , , ,18, , ,181016,1,0,0,0,0,39095,45780,"Toledo, OH",4,1,2,2,1, ,1,1,4,4,1,4,1,2,3,2,2,2,0,0,0,0,1,0, ,1,1,1,4,4,3,2,2,3,1,2,1,1,1,1,0
50000006,842,0.2694,NY,538,B,55, ,2,1,2,1,4,1,2,1,1,0,0,1,53, ,6,4,15,1,2,1,1,3,1,1,1,1, , ,22,, ,,2, , , ,18,1,1,181016,1,0,0,0,0,36055,40380,"Rochester, NY",4,1,2,2,1, ,2,1,1,2,3,2,1,1,1,3,1,2,1,0,0,0,0,0, ,1,1,1,3,2,3,2,2,3,4,1,1,1,2,2,0
50000007,842,0.597,PA,577,B,37, ,3,1,2,1,9,3,2,2, , , ,2,65, ,8,5,99,99,2,2,1,5,1,2,1,1, , ,97,toaist, ,, , , , ,18, , ,181016,0,0,0,0,1,42037,14100,"Bloomsburg-Berwick, PA",2,1,1,2,2, ,4,2,2,1,4,1,1,1,1,3,1,1,0,0,0,0,0,1, ,1,2,9,4,3,3,2,3,9,9,1,3,3,3,7,0
50000008,842,0.3606,NC,560,B,183, ,1,3,5,1,3,1,3,2,1,0,0,1,52, ,6,4,99,99,2,3,2,3,1,1,1,1, , ,2,, ,, , , , ,18,1,1,181016,1,0,0,0,0,37183,39580,"Raleigh, NC",4,2,3,2,2, ,3,2,2,3,3,3,1,1,3,2,2,2,0,1,0,0,0,0,2,1,1,9,3,2,3,2,3,9,9,3,2,3,2,4,0
50000009,842,0.7722,ME,537,C,19, ,2,1,1,1,3,4,5,2,1,1,1,1,40, ,6,4,2,1,2,9,1,2,1,2,1,1, , ,22,, ,,9, , , ,18,1,4,181016,0,0,0,0,1,23019,12620,"Bangor, ME",1,1,2,2,9,9,9,3,4,2,2,4,2,1,4,3,2,1,1,1,0,0,0,0,9,1,2,1,2,2,3,2,2,4,1,1,9,2,1,2,0
50000010,842,0.4321,NC,567,C,21, ,2,3,5,1,3,3,2,2, , , ,2,78, ,8,5,99,1,1,1,1,2,1,1,1,1, , ,15,, ,,1, , , ,18, , ,181016,1,0,0,0,0,37021,11700,"Asheville, NC",3,1,2,2,1, ,1,1,1,3,1,3,2,1,3,2,2,2,0,0,0,0,1,0, ,1,1,1,4,4,3,2,2,3,9,3,1,1,1,1,0
50000011,842,0.6519,NJ,504,A,7, ,3,1,2,2,1,2,2,2, , , ,2,69, ,3,2,1,4,2,2,1,1,1,2,1,1, ,1,1,, ,,2, , , ,18, , ,181016,1,0,0,0,0,34007,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",4,2,4,1,2, ,3,1,3,4,4,2,1,1,1,2,1,1,0,1,0,0,0,0, ,1,2,3,4,3,1,1,0,0,1,1,3,3,1,3,0
50000012,842,0.8117,MA,506,A,9, ,3,1,1,1,1,2,3,3, , , ,2,22, ,6,4,15,1,1,2,2,5,1,1,1,1, , ,2,, ,, , , , ,18,1,5,181016,1,0,0,0,0,25009,14460,"Boston-Cambridge-Newton, MA-NH",4,1,3,1,2, ,4,2,2,2,2,1,2,1,2,3,1,2,0,1,0,0,0,0, ,1,1,1,1,1,3,2,2,3,4,1,3,3,3,4,1
50000013,842,0.4266,NJ,500,C,31, ,5,1,2,2,5,3,1,1, , , ,2,75, ,5,3,98,1,1,2,2,3,1,1,1,2, , ,2,, ,, , , , ,18, , ,181016,1,0,0,0,0,23031,38860,"Portland-South Portland, ME",2,1,1,2,2, ,9,3,3,2,9,3,2,9,9,3,2,9,0,0,0,0,1,0, ,1,1,1,4,4,2,1,1,1,9,1,3,3,2,4,1
50000014,842,0.6549,OH,515,B,61, ,1,2,3,1,3,3,2,2, , , ,2,99,4,5,3,12,1,1,2,1,3,1,1,1,1, , ,2,, ,, , , , ,18, , ,181016,1,0,0,0,0,39061,17140,"Cincinnati, OH-KY-IN",4,1,1,2,2, ,4,3,2,4,4,1,2,1,9,2,2,2,0,0,0,0,1,0, ,1,1,1,4,99,2,1,1,1,4,2,3,3,2,4,1
50000016,842,0.4731,FL,561,B,109, ,3,3,5,1,3,1,2,2, , , ,2,64, ,6,4,6,1,1,1,2,2,1,1,1,1, , ,22,, ,,2, , , ,18,1,1,181016,1,0,0,0,0,12109,27260,"Jacksonville, FL",2,1,1,1,1, ,1,1,4,9,9,9,2,2,3,3,2,3,0,0,0,0,1,0, ,1,1,1,3,3,3,2,2,3,3,3,1,1,1,2,0
50000018,842,0.4175,OK,650,B,109, ,2,3,7,1,6,3,1,1, , , ,2,50, ,6,4,3,1,1,3,2,2,1,2,1,1, , ,22,, ,,2, , , ,18,1,3,181016,1,0,0,0,0,40109,36420,"Oklahoma City, OK",4,1,2,2,1, ,3,3,2,1,2,1,2,1,2,3,2,2,0,1,0,0,0,0,1,1,2,1,3,2,3,2,2,4,1,3,2,1,1,2,0
50000019,842,1.0466,MD,511,A,43, ,2,3,5,1,3,1,3,3, , , ,2,56, ,3,2,6,1,1,1,1,8,1,1,1,1, , ,90,, ,, ,2,1, ,18,1,1,181016,1,0,0,0,0,24043,25180,"Hagerstown-Martinsburg, MD-WV",2,1,2,2,1, ,1,3,4,4,2,4,2,1,3,3,2,3,0,0,0,0,1,0, ,1,1,1,3,3,1,1,1,1,3,3,1,1,9,6,0
50000020,842,0.6896,WI,617,B,133, ,2,2,3,1,3,1,3,3, , , ,2,59, ,8,5,99,99,1,3,1,9,1,1,1,1, , ,99,, ,, , , , ,18,1,1,181016,1,0,0,0,0,55133,33340,"Milwaukee-Waukesha-West Allis, WI",3,1,1,1,1, ,1,1,3,9,1,9,1,2,9,3,2,3,0,0,0,0,1,0,9,1,1,9,3,3,3,2,3,9,9,2,2,2,9,9,0
50000021,842,0.4896,MO,632,D,207, ,5,2,4,2,1,7,1,1, , , ,2,38, ,3,2,1,9,1,3,2,3,1,1,1,1, , ,99,, ,, , , , ,18,1,4,181016,1,0,0,0,0,29207, ,,1,1,4,2,9,9,4,3,1,2,1,2,1,2,2,3,2,2,0,0,0,0,1,0,9,1,1,4,2,2,1,1,0,0,1,2,2,2,2,9,0
50000022,842,0.5434,IL,616,B,49, ,3,2,3,1,3,3,3,3, , , ,2,59, ,8,5,12,2,2,3,2,3,1,1,1,1, , ,15,, ,,1, , , ,18,1,0,181016,1,0,0,0,0,29049,28140,"Kansas City, MO-KS",1,1,1,1,9,9,3,3,2,1,4,1,1,1,2,1,1,2,1,0,0,0,0,0,2,1,1,2,3,3,3,2,0,0,4,2,2,3,2,3,0
